Station Name: Dublin_Airport
Station Height: 71 M 
Latitude:53.428  ,Longitude: -6.241


maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)	
rain: -	  Precipitation Amount (mm)
cbl:  -   Mean CBL Pressure (hpa)
wdsp: -	  Mean Wind Speed (knot)
hm:  -	  Highest ten minute mean wind speed (knot)		                 
ddhm: -	  Mean Wind Direction over 10 minutes at time of highest 10 minute mean (degree)                  
hg:  -	  Highest Gust (knot)
sun: -	  Sunshine duration (hours)
dos: -	  Dept of Snow (cm)
g_rad  -  Global Radiation (j/cm sq.) 
soil   -  Mean 10cm Soil Temperature (C)
i: -	  Indicator

date,imax,maxtp,imin,mintp,irain,rain,cbl,wdsp,ihm,hm,iddhm,ddhm,ihg,hg,sun,dos,g_rad,soil 
01-jan-1985,0,4.1,1,-1.3,3,0.0,1018.3,7.6,0,11,0,320,0,15,6.3,0,327,2.400 
02-jan-1985,0,3.5,1,-2.2,3,0.0,1013.0,4.6,0,8,0,270,0,11,2.9,0,292,1.550 
03-jan-1985,0,4.4,1,-2.2,3,0.0,1010.3,5.3,0,9,0,10,0,12,4.9,0,277,1.025 
04-jan-1985,0,6.8,0,0.2,0,0.1,1008.5,8.0,0,13,0,70,0,17,2.6,0,228,1.275 
05-jan-1985,0,5.8,0,0.6,0,0.3,1010.1,6.7,0,15,0,90,0,21,0.0,0,90,2.375 
06-jan-1985,0,5.7,1,-0.5,0,0.3,1010.7,9.8,0,14,0,340,0,22,6.4,0,352,2.050 
07-jan-1985,0,4.7,1,-0.4,0,0.1,1009.7,6.8,0,12,0,330,0,18,1.3,0,190,1.675 
08-jan-1985,0,4.0,1,-0.6,0,0.7,1008.7,9.7,0,12,0,290,0,15,0.1,0,208,2.000 
09-jan-1985,0,4.0,0,0.2,2,0.0,1009.1,8.0,0,12,0,290,0,16,0.0,0,175,2.475 
10-jan-1985,0,5.4,0,1.4,0,0.1,1015.5,4.8,0,10,0,20,0,12,0.0,0,107,2.700 
11-jan-1985,0,5.2,0,0.7,0,0.0,1019.8,2.5,0,6,0,140,0,9,0.5,0,217,2.250 
12-jan-1985,0,5.2,0,0.2,3,0.0,1019.2,3.5,0,9,0,140,0,13,0.6,0,171,1.900 
13-jan-1985,0,4.0,1,-1.2,0,1.7,1019.5,7.0,0,17,0,100,0,28,0.4,0,185,1.275 
14-jan-1985,0,3.1,1,-1.2,2,0.0,1023.5,6.9,0,11,0,100,0,17,0.3,0,181,1.150 
15-jan-1985,0,5.0,0,0.5,0,0.4,1019.7,9.4,0,17,0,50,0,25,1.1,0,163,1.375 
16-jan-1985,0,1.6,1,-1.4,0,1.9,1011.6,5.0,0,13,0,110,0,21,0.0,0,113,1.150 
17-jan-1985,0,0.5,1,-3.5,4,4.7,1000.9,8.7,0,16,0,100,0,20,0.1,3,123,1.000 
18-jan-1985,0,2.9,1,-1.3,4,23.3,995.9,9.2,0,14,0,110,0,20,0.0,12,38,0.800 
19-jan-1985,0,3.2,0,0.0,0,6.6,995.1,6.4,0,11,0,110,0,16,0.0,9,103,0.750 
20-jan-1985,0,5.0,0,1.4,0,1.0,983.9,15.6,0,23,0,140,0,33,0.0,5,51,1.475 
21-jan-1985,0,8.5,0,1.0,0,6.0,968.8,13.6,0,22,0,310,0,35,0.2,0,115,3.650 
22-jan-1985,0,4.0,1,-0.6,0,0.4,979.3,18.1,0,27,0,270,0,38,7.0,0,474,1.450 
23-jan-1985,0,2.0,1,-3.0,3,0.0,992.3,12.0,0,16,0,270,0,25,6.4,0,457,0.750 
24-jan-1985,0,8.0,1,-2.0,0,3.4,990.8,12.7,0,23,0,240,0,37,0.3,0,175,1.050 
25-jan-1985,0,6.1,0,2.9,0,1.1,983.3,7.2,0,13,0,230,0,19,0.1,0,254,2.375 
26-jan-1985,0,5.0,1,-1.0,0,0.1,990.3,7.9,0,14,0,30,0,19,5.5,0,480,2.925 
27-jan-1985,0,9.8,0,0.6,0,6.2,988.0,14.2,0,20,0,140,0,33,0.0,0,99,2.900 
28-jan-1985,0,10.5,0,2.9,0,2.5,986.7,12.2,0,23,0,290,0,36,5.8,0,499,4.775 
29-jan-1985,0,11.5,0,5.7,0,1.9,1001.0,9.9,0,17,0,230,0,26,0.0,0,87,6.725 
30-jan-1985,0,12.0,0,5.2,0,1.8,1000.5,14.4,0,30,0,240,0,48,0.3,0,288,5.900 
31-jan-1985,0,11.4,0,6.4,0,1.9,999.4,18.8,0,28,0,250,0,44,1.0,0,294,6.225 
01-feb-1985,0,11.5,0,7.3,0,0.3,1003.3,22.1,0,28,0,260,0,40,1.7,0,407,7.400 
02-feb-1985,0,10.0,0,6.7,0,0.5,1010.0,9.2,0,17,0,250,0,27,0.1,0,257,6.625 
03-feb-1985,0,11.1,0,7.7,0,2.0,1013.2,6.5,0,13,0,220,0,19,0.0,0,246,7.650 
04-feb-1985,0,8.5,0,6.6,2,0.0,1008.7,6.7,0,11,0,220,0,17,0.0,0,178,7.250 
05-feb-1985,0,9.2,0,4.9,2,0.0,1001.9,8.6,0,16,0,130,0,25,5.0,0,540,6.450 
06-feb-1985,0,9.8,0,6.0,0,14.7,1002.5,9.1,0,20,0,110,0,30,1.6,0,395,7.325 
07-feb-1985,0,7.6,0,6.0,0,7.9,997.5,15.2,0,23,0,120,0,34,0.0,0,100,7.025 
08-feb-1985,0,6.5,0,1.8,0,15.1,990.1,16.5,0,23,0,100,0,33,0.0,0,47,5.750 
09-feb-1985,0,3.1,0,0.3,0,6.3,991.5,19.5,0,25,0,110,0,36,0.0,0,54,3.325 
10-feb-1985,0,1.7,1,-2.1,0,0.0,995.7,19.4,0,26,0,110,0,37,5.8,0,622,1.625 
11-feb-1985,0,0.9,1,-2.3,0,0.0,996.7,17.1,0,24,0,120,0,37,0.7,0,433,0.975 
12-feb-1985,0,2.0,1,-2.4,0,0.0,996.8,10.8,0,16,0,110,0,23,3.2,0,632,0.600 
13-feb-1985,0,2.2,1,-1.2,0,0.0,999.1,8.9,0,15,0,80,0,22,2.0,0,419,0.475 
14-feb-1985,0,4.1,0,0.2,0,0.0,1005.6,21.5,0,30,0,90,0,45,6.1,0,741,0.575 
15-feb-1985,0,2.7,1,-1.0,0,0.0,1014.0,19.2,0,26,0,80,0,40,7.0,0,760,0.875 
16-feb-1985,0,4.2,0,0.3,0,0.0,1016.8,14.0,0,20,0,120,0,31,6.3,0,778,0.675 
17-feb-1985,0,5.5,1,-0.2,3,0.0,1016.2,8.5,0,14,0,140,0,20,6.6,0,788,1.075 
18-feb-1985,0,6.3,1,-4.0,3,0.0,1017.0,4.2,0,15,0,190,0,24,4.6,0,722,0.750 
19-feb-1985,0,7.6,0,5.0,0,2.5,1017.4,11.9,0,17,0,200,0,31,0.0,0,211,2.800 
20-feb-1985,0,8.2,0,1.0,2,0.0,1021.1,2.9,0,8,0,260,0,10,1.1,0,464,3.950 
21-feb-1985,0,9.6,0,2.5,3,0.0,1019.5,4.3,0,10,0,220,0,15,0.0,0,465,4.150 
22-feb-1985,0,9.2,0,3.7,2,0.0,1016.5,12.3,0,23,0,210,0,37,3.5,0,574,4.450 
23-feb-1985,0,11.3,0,7.5,2,0.0,1012.9,16.2,0,26,0,230,0,38,0.0,0,381,6.300 
24-feb-1985,0,10.8,0,4.8,3,0.0,1014.5,7.2,0,16,0,120,0,22,8.9,0,966,5.925 
25-feb-1985,0,9.4,0,4.7,2,0.0,1009.4,7.4,0,17,0,140,0,26,0.2,0,411,4.775 
26-feb-1985,0,12.3,0,2.5,3,0.0,1011.8,5.9,0,12,0,230,0,18,4.5,0,693,4.900 
27-feb-1985,0,9.0,0,3.0,0,2.7,1013.2,8.9,0,16,0,130,0,25,0.0,0,268,6.000 
28-feb-1985,0,9.8,0,5.9,3,0.0,1007.2,13.4,0,25,0,130,0,36,4.4,0,859,6.150 
01-mar-1985,0,7.5,0,5.3,0,7.1,996.2,12.2,0,22,0,110,0,32,0.0,0,235,6.075 
02-mar-1985,0,8.1,0,4.0,0,0.1,994.0,6.8,0,15,0,250,0,20,1.6,0,528,6.325 
03-mar-1985,0,9.2,0,4.4,0,8.3,982.5,12.6,0,23,0,110,0,33,0.3,0,271,6.375 
04-mar-1985,0,8.1,0,1.5,0,2.5,990.5,15.7,0,24,0,280,0,34,4.6,0,706,5.600 
05-mar-1985,0,10.2,0,0.5,3,0.0,1008.9,7.9,0,12,0,250,0,17,5.8,0,962,4.800 
06-mar-1985,0,11.9,0,6.3,2,0.0,1009.5,12.8,0,22,0,240,0,36,0.2,0,380,6.725 
07-mar-1985,0,12.1,0,1.9,3,0.0,1015.2,5.9,0,13,0,260,0,18,8.9,0,1240,6.850 
08-mar-1985,0,12.4,0,3.4,3,0.0,1019.3,10.9,0,18,0,210,0,30,2.1,0,732,6.100 
09-mar-1985,0,14.5,0,8.1,2,0.0,1020.8,13.0,0,17,0,240,0,26,7.0,0,1064,7.650 
10-mar-1985,0,10.3,0,2.3,0,2.1,1027.3,10.8,0,18,0,10,0,24,6.8,0,1030,8.775 
11-mar-1985,0,11.4,0,0.6,3,0.0,1031.6,4.8,0,9,0,240,0,16,9.6,0,1315,6.375 
12-mar-1985,0,10.6,0,1.8,2,0.0,1022.6,9.1,0,14,0,230,0,20,3.3,0,890,6.225 
13-mar-1985,0,9.6,0,3.0,0,0.1,1014.1,9.8,0,14,0,340,0,20,1.3,0,721,7.525 
14-mar-1985,0,8.2,1,-0.1,0,1.3,1007.2,11.3,0,20,0,330,0,29,7.1,0,1078,5.550 
15-mar-1985,0,5.7,0,0.3,0,1.8,998.5,14.5,0,24,0,340,0,35,3.5,0,793,4.425 
16-mar-1985,0,6.8,1,-1.7,0,0.2,997.8,12.5,0,17,0,310,0,27,7.9,0,1285,4.100 
17-mar-1985,0,7.1,1,-2.4,3,0.0,1004.0,6.5,0,12,0,280,0,17,10.6,0,1516,4.750 
18-mar-1985,0,6.0,0,1.5,2,0.0,1004.8,12.8,0,20,0,160,0,29,1.4,0,891,4.400 
19-mar-1985,0,5.4,0,1.7,0,1.0,999.0,12.8,0,17,0,130,0,27,0.0,0,683,4.575 
20-mar-1985,0,4.0,0,0.4,0,19.3,983.5,19.2,0,29,0,120,0,43,0.7,0,511,3.200 
21-mar-1985,0,4.1,0,2.0,0,6.9,972.6,16.7,0,26,0,120,0,40,0.0,0,163,2.950 
22-mar-1985,0,4.3,0,1.4,0,0.9,980.3,13.5,0,18,0,330,0,26,0.0,0,167,3.275 
23-mar-1985,0,7.2,0,3.3,2,0.0,986.8,9.0,0,15,0,330,0,20,0.1,0,393,4.775 
24-mar-1985,0,7.2,0,0.2,2,0.0,987.5,9.2,0,18,0,280,0,27,4.2,0,966,5.050 
25-mar-1985,0,9.4,1,-0.5,3,0.0,987.6,4.2,0,8,0,120,0,13,9.6,0,1407,5.025 
26-mar-1985,0,9.0,1,-0.5,3,0.0,993.8,5.8,0,13,0,40,0,18,3.9,0,1048,5.550 
27-mar-1985,0,6.4,0,0.6,3,0.0,1005.5,10.2,0,17,0,340,0,25,3.7,0,843,4.775 
28-mar-1985,0,8.7,0,2.2,0,0.0,1006.5,13.5,0,20,0,260,0,28,0.3,0,746,5.100 
29-mar-1985,0,14.6,0,5.1,0,8.8,990.8,12.0,0,20,0,210,0,35,1.5,0,846,6.875 
30-mar-1985,0,14.6,0,7.9,0,2.4,980.8,13.3,0,25,0,230,0,38,5.2,0,1054,9.050 
